Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20160101000030,H0003,3,0,R1,R,44,C07
20160101000026,K0010,1,0,F,N,30,E06
20160101000030,C0004,1,0,L3,L,197,E09
20160101000032,D0001,0,3,L1,L,85,C10
20160101000028,F0007,0,1,F,N,0,A05
20160101000028,T0008,2,0,L3,L,10,A05
20160101000032,H0002,2,0,R3,R,27,D06
20160101000030,B0005,2,0,R1,R,34,E08
20160101000028,D0009,0,1,F,N,32,B03
20160101000030,L0006,0,1,F,N,0,D06
20160101000032,H0003,1,0,F,N,49,C06
20160101000028,K0010,1,0,F,N,35,E05
20160101000032,C0004,3,0,F,L,217,E03
20160101000034,D0001,1,0,F,N,27,C09
20160101000030,F0007,1,0,R2,R,5,A08
20160101000030,T0008,3,0,F,N,25,A08
20160101000034,H0002,2,0,F,N,37,D09
20160101000032,B0005,5,0,F,N,59,E06
20160101000030,D0009,0,1,F,N,22,B06
20160101000032,L0006,1,0,F,N,1,D08
20160101000034,H0003,0,1,R2,R,39,C06
20160101000030,K0010,1,0,F,N,40,E10
20160101000034,C0004,2,0,F,R,227,E03
20160101000036,D0001,0,0,F,N,27,C01
20160101000032,F0007,1,0,F,N,10,A01
20160101000032,T0008,5,0,R1,R,50,A06
20160101000036,H0002,0,1,F,N,27,D08
20160101000034,B0005,5,0,F,N,84,E04
20160101000032,D0009,3,0,L2,L,37,B08
20160101000034,L0006,1,0,F,N,6,D05
20160101000036,H0003,1,0,F,N,44,C07
20160101000032,K0010,1,0,F,N,45,E02
20160101000036,C0004,3,0,L1,N,247,E09
20160101000038,D0001,0,2,F,N,7,C01
20160101000034,F0007,1,0,F,N,15,A02
20160101000034,T0008,0,0,F,N,50,A05
20160101000038,H0002,1,0,F,N,32,D10
20160101000036,B0005,0,0,R3,R,84,E06
20160101000034,D0009,2,0,F,N,47,B09
20160101000036,L0006,3,0,L3,L,21,D06
20160101000038,H0003,1,0,F,N,49,C06
20160101000034,K0010,1,0,F,N,50,E02
20160101000038,C0004,2,0,L3,N,250,E06
20160101000040,D0001,2,0,L1,L,17,C05
20160101000036,F0007,0,1,L3,L,5,A07
20160101000036,T0008,3,0,F,N,65,A02
20160101000040,H0002,1,0,F,N,37,D03
20160101000038,B0005,0,2,F,N,64,E07
20160101000036,D0009,2,0,F,N,57,B01
20160101000038,L0006,5,0,F,N,46,D02
20160101000040,H0003,1,0,F,N,54,C05
20160101000036,K0010,1,0,F,N,55,E06
20160101000040,C0004,3,0,L1,L,250,E05
20160101000042,D0001,3,0,F,N,32,C07
20160101000038,F0007,0,1,L2,L,0,A01
20160101000038,T0008,3,0,F,N,80,A10
20160101000042,H0002,0,3,F,N,0,D03
20160101000040,B0005,0,1,F,N,54,E02
20160101000038,D0009,1,0,R2,R,62,B02
20160101000040,L0006,0,0,F,N,46,D01
20160101000042,H0003,1,0,F,N,59,C02
20160101000038,K0010,1,0,F,N,60,E04
20160101000042,C0004,3,0,F,N,250,E08
20160101000044,D0001,1,0,F,N,37,C01
20160101000040,F0007,5,0,R3,R,25,A05
20160101000040,T0008,0,1,F,N,70,A05
20160101000044,H0002,0,3,R3,R,0,D06
20160101000042,B0005,4,0,F,N,74,E08
20160101000040,D0009,3,0,F,N,77,B08
20160101000042,L0006,2,0,R1,R,56,D05
20160101000044,H0003,1,0,F,N,64,C01
20160101000040,K0010,1,0,F,N,65,E08
20160101000044,C0004,5,0,F,L,250,E10
20160101000046,D0001,0,1,R3,R,27,C08
20160101000042,T0008,0,2,R1,R,50,A02
20160101000046,H0002,1,0,F,N,5,D09
20160101000042,F0007,0,1,F,N,15,A03
20160101000044,B0005,0,2,F,N,54,E09
20160101000042,D0009,1,0,R2,R,82,B08
20160101000044,L0006,3,0,F,N,71,D08
20160101000046,H0003,1,0,F,N,69,C03
20160101000042,K0010,0,2,R1,R,45,E05
20160101000046,C0004,2,0,L3,N,250,E09
20160101000048,D0001,1,0,R1,R,32,C03
20160101000044,T0008,1,0,R1,R,55,A04
20160101000048,H0002,0,1,L2,L,0,D08
20160101000044,F0007,5,0,F,N,12,A10
20160101000046,B0005,0,1,F,N,44,E02
20160101000044,D0009,3,0,F,N,97,B08
20160101000046,L0006,0,0,F,N,71,D07
20160101000048,H0003,2,0,F,N,79,C08
20160101000044,K0010,3,0,F,N,60,E03
20160101000048,C0004,4,0,R3,N,250,E01
20160101000050,D0001,0,0,F,N,32,C01
20160101000046,T0008,3,0,F,N,70,A08
20160101000046,F0007,3,0,R2,R,27,A07
20160101000050,H0002,5,0,R1,R,25,D02
20160101000048,B0005,1,0,F,N,49,E07
20160101000046,D0009,0,1,L3,L,87,B09
20160101000048,L0006,2,0,F,N,81,D04
20160101000050,H0003,3,0,F,N,94,C09
20160101000046,K0010,4,0,L3,L,80,E01
20160101000050,C0004,3,0,R1,N,250,E09
20160101000052,D0001,4,0,R3,R,52,C08
20160101000048,T0008,1,0,L1,L,75,A01
20160101000048,F0007,5,0,F,N,52,A08
20160101000052,H0002,5,0,R2,R,50,D01
20160101000050,B0005,1,0,F,N,54,E07
20160101000048,D0009,0,1,F,N,16,B06
20160101000050,L0006,1,0,F,N,86,D03
20160101000052,H0003,1,0,R3,R,99,C02
20160101000048,K0010,2,0,L2,L,90,E04
20160101000052,C0004,1,0,L1,N,250,E02
20160101000054,D0001,2,0,F,N,62,C01
20160101000050,T0008,3,0,F,N,90,A09
20160101000050,F0007,0,1,F,N,42,A09
20160101000054,H0002,4,0,F,N,70,D05
20160101000052,B0005,3,0,F,N,69,E01
20160101000050,D0009,0,2,R1,R,0,B02
20160101000052,L0006,1,0,F,N,91,D09
20160101000054,H0003,0,0,F,N,99,C04
20160101000050,K0010,1,0,R2,R,95,E01
20160101000054,C0004,5,0,L2,N,250,E10
20160101000056,D0001,0,2,F,N,42,C08
20160101000052,T0008,0,2,F,N,70,A03
20160101000052,F0007,3,0,F,N,57,A03
20160101000056,H0002,2,0,F,N,80,D07
20160101000054,B0005,1,0,F,N,74,E10
20160101000052,D0009,1,0,R3,R,5,B08
20160101000054,L0006,0,3,F,N,61,D09
20160101000056,H0003,3,0,F,N,114,C10
20160101000052,K0010,5,0,F,N,36,E06
20160101000058,D0001,3,0,L2,L,57,C08
20160101000056,C0004,1,0,R3,N,250,E02
20160101000058,H0002,1,0,F,N,25,D05
20160101000054,F0007,1,0,F,N,18,A06
20160101000054,T0008,0,1,F,N,60,A04
20160101000056,B0005,3,0,F,N,89,E01
20160101000054,D0009,0,1,R1,R,0,B01
20160101000056,L0006,1,0,L1,L,66,D08
20160101000058,H0003,5,0,F,N,41,C01
20160101000054,K0010,5,0,R3,R,61,E09
20160101000100,D0001,1,0,F,N,18,C09
20160101000058,C0004,0,2,L1,L,240,E03
20160101000056,F0007,3,0,F,N,33,A01
20160101000100,H0002,0,1,L3,L,15,D08
20160101000056,T0008,2,0,F,N,70,A10
20160101000058,B0005,1,0,F,N,94,E03
20160101000056,D0009,0,0,F,N,0,B09
20160101000058,L0006,3,0,R2,R,81,D03
20160101000100,H0003,3,0,R1,R,56,C06
20160101000056,K0010,0,0,F,N,61,E02
20160101000100,C0004,4,0,F,R,250,E07
20160101000102,D0001,1,0,F,N,23,C10
20160101000102,H0002,1,0,L1,L,20,D09
20160101000058,F0007,0,0,F,N,33,A01
20160101000100,B0005,3,0,F,N,109,E02
20160101000058,T0008,2,0,R3,R,24,A03
20160101000058,D0009,3,0,F,N,15,B07
20160101000100,L0006,2,0,F,N,91,D07
20160101000102,H0003,0,0,F,N,56,C07
20160101000058,K0010,0,1,F,N,51,E06
20160101000102,C0004,5,0,F,N,250,E06
20160101000104,D0001,1,0,F,N,28,C10
20160101000100,F0007,0,2,F,N,13,A05
20160101000102,B0005,4,0,F,N,129,E02
20160101000100,T0008,1,0,F,N,29,A04
20160101000104,H0002,0,0,F,N,20,D09
20160101000100,D0009,3,0,F,N,30,B02
20160101000102,L0006,1,0,F,N,96,D06
20160101000104,H0003,3,0,F,N,71,C01
20160101000100,K0010,0,0,R2,R,51,E06
20160101000106,D0001,0,1,F,N,18,C03
20160101000104,C0004,4,0,F,N,250,E06
20160101000104,B0005,0,1,F,N,119,E07
20160101000102,T0008,3,0,F,N,44,A03
20160101000106,H0002,0,0,F,N,20,D10
20160101000102,F0007,1,0,R3,R,18,A10
20160101000102,D0009,1,0,F,N,35,B06
20160101000104,L0006,1,0,F,N,101,D07
20160101000106,H0003,2,0,F,N,81,C04
20160101000102,K0010,0,2,L1,L,31,E07
20160101000106,C0004,3,0,R2,N,250,E10
20160101000108,D0001,0,2,F,N,0,C03
20160101000104,T0008,3,0,L2,L,59,A09
20160101000108,H0002,0,1,F,N,10,D10
20160101000104,F0007,2,0,F,N,28,A06
20160101000106,B0005,1,0,R3,R,124,E06
20160101000104,D0009,1,0,F,N,12,B01
20160101000106,L0006,3,0,F,N,116,D04
20160101000108,H0003,1,0,F,N,86,C05
20160101000104,K0010,1,0,F,N,10,E03
20160101000110,D0001,0,0,R2,R,0,C07
20160101000108,C0004,3,0,F,R,75,E09
20160101000106,T0008,2,0,F,N,69,A08
20160101000106,F0007,1,0,R2,R,33,A09
20160101000108,B0005,0,1,F,N,27,E10
20160101000110,H0002,0,0,F,N,10,D04
20160101000106,D0009,0,0,L2,L,12,B07
20160101000108,L0006,0,1,R2,R,106,D06
20160101000110,H0003,4,0,F,N,106,C04
20160101000106,K0010,3,0,F,N,25,E10
20160101000112,D0001,0,1,F,N,0,C03
20160101000110,C0004,5,0,L1,R,115,E05
20160101000108,T0008,0,1,F,N,59,A10
20160101000108,F0007,3,0,F,N,48,A04
20160101000110,B0005,1,0,F,N,32,E05
20160101000112,H0002,2,0,F,N,20,D09
20160101000108,D0009,2,0,F,N,22,B06
20160101000110,L0006,1,0,F,N,111,D03
20160101000112,H0003,1,0,F,N,111,C10
20160101000108,K0010,3,0,F,N,40,E02
20160101000114,D0001,1,0,R2,R,5,C10
20160101000112,C0004,5,0,L3,L,155,E04
20160101000110,T0008,0,3,F,N,29,A04
20160101000110,F0007,5,0,L3,L,73,A04
20160101000112,B0005,1,0,F,N,11,E04
20160101000114,H0002,2,0,F,N,30,D05
20160101000110,D0009,3,0,F,N,37,B10
20160101000112,L0006,1,0,F,N,116,D03
20160101000114,H0003,3,0,R2,R,126,C02
20160101000110,K0010,1,0,F,N,45,E04
20160101000116,D0001,3,0,F,N,20,C07
20160101000114,C0004,0,2,F,L,145,E10
20160101000112,T0008,3,0,F,N,44,A09
20160101000112,F0007,0,1,F,N,63,A10
20160101000114,B0005,1,0,F,N,16,E04
20160101000116,H0002,3,0,F,N,45,D01
20160101000112,D0009,1,0,F,N,12,B09
20160101000114,L0006,3,0,F,N,131,D08
20160101000116,H0003,1,0,F,N,131,C09
20160101000112,K0010,1,0,R2,R,50,E06
20160101000118,D0001,1,0,F,N,25,C09
20160101000116,C0004,4,0,L3,N,175,E01
20160101000114,T0008,2,0,F,N,54,A07
20160101000114,F0007,0,2,F,N,43,A07
20160101000116,B0005,5,0,F,N,41,E09
20160101000118,H0002,3,0,F,N,60,D07
20160101000114,D0009,1,0,R2,R,17,B01
20160101000116,L0006,3,0,F,N,43,D05
20160101000118,H0003,1,0,F,N,136,C02
20160101000114,K0010,3,0,F,N,65,E09
20160101000120,D0001,3,0,F,N,40,C02
20160101000118,C0004,4,0,R1,N,205,E10
20160101000116,T0008,1,0,F,N,59,A08
20160101000116,F0007,1,0,F,N,48,A04
20160101000120,H0002,4,0,F,N,80,D02
20160101000116,D0009,0,1,L1,L,7,B01
20160101000118,L0006,3,0,L1,L,58,D05
20160101000120,H0003,0,1,L2,L,126,C10
20160101000116,K0010,1,0,F,N,21,E03
20160101000118,B0005,4,0,F,N,61,E03
20160101000122,D0001,5,0,R3,R,19,C05
20160101000120,C0004,2,0,L3,L,215,E03
20160101000118,T0008,2,0,L3,L,69,A10
20160101000118,F0007,4,0,F,N,68,A10
20160101000122,H0002,0,0,F,N,80,D09
20160101000118,D0009,1,0,L2,L,12,B01
20160101000120,L0006,0,0,L2,L,58,D05
20160101000122,H0003,3,0,R1,R,141,C10
20160101000118,K0010,0,1,R2,R,11,E06
20160101000120,B0005,3,0,F,N,76,E03
20160101000122,C0004,1,0,F,N,220,E10
20160101000124,D0001,3,0,F,N,34,C10
20160101000120,T0008,3,0,F,N,84,A04
20160101000120,F0007,3,0,F,N,83,A04
20160101000124,H0002,2,0,L1,L,90,D02
20160101000120,D0009,0,1,F,N,2,B02
20160101000122,L0006,0,1,F,N,48,D09
20160101000124,H0003,1,0,F,N,146,C01
20160101000120,K0010,1,0,L3,L,16,E05
20160101000122,B0005,3,0,F,N,91,E01
20160101000124,C0004,0,2,F,N,210,E08
20160101000126,D0001,3,0,F,N,49,C02
20160101000122,T0008,0,1,F,N,74,A01
20160101000122,F0007,3,0,L2,L,98,A07
20160101000126,H0002,3,0,F,N,105,D05
20160101000122,D0009,3,0,F,N,17,B06
20160101000124,L0006,3,0,F,N,63,D02
20160101000126,H0003,3,0,F,N,161,C06
20160101000122,K0010,0,1,F,N,6,E10
20160101000124,B0005,1,0,F,N,96,E08
20160101000126,C0004,1,0,L1,N,215,E01
20160101000128,D0001,0,0,F,N,49,C03
20160101000124,T0008,3,0,F,N,89,A01
20160101000124,F0007,2,0,F,N,108,A05
20160101000128,H0002,3,0,L3,L,120,D08
20160101000124,D0009,0,0,F,N,17,B05
20160101000126,L0006,3,0,F,N,78,D09
20160101000128,H0003,0,1,F,N,38,C02
20160101000124,K0010,1,0,F,N,11,E01
20160101000126,B0005,3,0,F,N,111,E07
20160101000130,D0001,0,0,L2,L,49,C02
20160101000128,C0004,3,0,R2,L,235,E06
20160101000130,H0002,3,0,F,N,40,D08
20160101000126,F0007,3,0,R1,R,123,A08
20160101000126,T0008,5,0,R3,R,34,A04
20160101000126,D0009,1,0,F,N,22,B07
20160101000128,L0006,3,0,F,N,93,D02
20160101000130,H0003,0,1,F,N,28,C10
20160101000126,K0010,1,0,R3,R,4,E03
20160101000128,B0005,3,0,L2,L,126,E09
20160101000132,D0001,5,0,R2,R,74,C03
20160101000130,C0004,3,0,R1,L,75,E03
20160101000132,H0002,3,0,F,N,55,D01
20160101000128,F0007,5,0,F,N,148,A06
20160101000128,T0008,1,0,F,N,11,A05
20160101000128,D0009,3,0,F,N,37,B05
20160101000130,L0006,2,0,F,N,103,D04
20160101000132,H0003,4,0,L2,L,14,C06
20160101000128,K0010,1,0,L1,L,9,E02
20160101000130,B0005,0,3,F,N,96,E07
20160101000134,D0001,3,0,F,N,89,C03
20160101000132,C0004,1,0,R3,N,80,E04
20160101000130,T0008,2,0,F,N,21,A07
20160101000130,F0007,3,0,F,N,163,A04
20160101000134,H0002,0,1,F,N,45,D08
20160101000130,D0009,1,0,F,N,42,B09
20160101000132,L0006,2,0,F,N,113,D06
20160101000134,H0003,0,0,F,N,4,C03
20160101000130,K0010,3,0,F,N,7,E05
20160101000132,B0005,0,0,R2,R,96,E04
20160101000134,C0004,3,0,R2,N,30,E07
20160101000136,D0001,0,2,R2,R,69,C10
20160101000132,F0007,3,0,L3,L,178,A10
20160101000136,H0002,0,2,F,N,25,D05
20160101000132,T0008,0,0,F,N,21,A03
20160101000132,D0009,1,0,F,N,47,B07
20160101000134,L0006,2,0,F,N,36,D03
20160101000136,H0003,1,0,R2,R,9,C06
20160101000132,K0010,1,0,F,N,12,E09
20160101000134,B0005,1,0,F,N,101,E09
20160101000136,C0004,1,0,L1,N,35,E04
20160101000138,D0001,3,0,F,N,84,C04
20160101000138,H0002,3,0,F,N,40,D07
20160101000134,T0008,1,0,F,N,26,A07
20160101000134,F0007,1,0,F,N,183,A10
20160101000134,D0009,0,0,F,N,47,B04
20160101000136,L0006,2,0,F,N,46,D09
20160101000138,H0003,0,0,F,N,9,C04
20160101000134,K0010,1,0,F,N,17,E05
20160101000136,B0005,1,0,R2,R,31,E09
20160101000140,D0001,2,0,F,N,28,C07
20160101000138,C0004,4,0,R1,L,65,E03
20160101000136,T0008,3,0,F,N,41,A05
20160101000136,F0007,3,0,F,N,59,A03
20160101000140,H0002,1,0,F,N,45,D07
20160101000136,D0009,1,0,F,N,52,B01
20160101000138,L0006,1,0,L3,L,51,D06
20160101000140,H0003,0,2,R3,R,0,C05
20160101000136,K0010,0,0,F,N,17,E09
20160101000138,B0005,0,1,F,N,21,E05
20160101000142,D0001,1,0,L3,L,33,C10
20160101000140,C0004,4,0,L1,L,28,E08
20160101000138,T0008,1,0,L3,L,46,A05
20160101000138,F0007,0,1,F,N,49,A02
20160101000138,D0009,1,0,F,N,57,B07
20160101000142,H0002,1,0,F,N,50,D04
20160101000140,L0006,3,0,F,N,66,D06
20160101000142,H0003,1,0,L2,L,5,C09
20160101000138,K0010,3,0,R2,R,32,E06
20160101000140,B0005,3,0,F,N,36,E09
20160101000144,D0001,3,0,F,N,48,C06
20160101000142,C0004,2,0,F,N,38,E09
20160101000140,T0008,0,2,F,N,26,A08
20160101000140,F0007,0,0,L2,L,49,A07
20160101000140,D0009,1,0,F,N,62,B07
20160101000144,H0002,0,0,F,N,15,D07
20160101000142,L0006,0,1,L2,L,56,D07
20160101000144,H0003,1,0,F,N,10,C01
20160101000140,K0010,3,0,R3,R,47,E02
20160101000142,B0005,5,0,L3,L,61,E02
20160101000146,D0001,1,0,F,N,53,C02
20160101000144,C0004,0,2,R3,N,28,E02
20160101000142,T0008,1,0,L1,L,9,A02
20160101000142,F0007,3,0,F,N,64,A03
20160101000142,D0009,3,0,F,N,77,B03
20160101000146,H0002,2,0,L1,L,25,D09
20160101000144,L0006,0,3,F,N,26,D06
20160101000146,H0003,3,0,F,N,7,C03
20160101000142,K0010,1,0,L3,L,52,E05
20160101000144,B0005,1,0,L1,L,66,E02
20160101000146,C0004,4,0,F,R,58,E01
20160101000148,D0001,3,0,F,N,68,C08
20160101000144,F0007,0,1,F,N,9,A09
20160101000144,T0008,5,0,F,N,34,A08
20160101000148,H0002,0,1,F,N,15,D04
20160101000144,D0009,0,1,F,N,67,B07
20160101000146,L0006,0,0,F,N,26,D02
20160101000148,H0003,1,0,F,N,12,C09
20160101000144,K0010,3,0,F,N,67,E10
20160101000146,B0005,2,0,F,N,76,E06
20160101000150,D0001,3,0,L1,L,83,C06
20160101000148,C0004,1,0,L3,L,18,E03
20160101000146,T0008,2,0,R1,R,44,A10
20160101000146,F0007,0,1,F,N,0,A09
20160101000150,H0002,1,0,L2,L,20,D05
20160101000146,D0009,1,0,F,N,72,B01
20160101000148,L0006,0,2,F,N,6,D02
20160101000150,H0003,2,0,F,N,22,C02
20160101000146,K0010,1,0,F,N,72,E07
20160101000148,B0005,2,0,F,N,86,E02
20160101000152,D0001,3,0,F,N,98,C08
20160101000150,C0004,3,0,L3,N,11,E02
20160101000148,T0008,0,0,F,N,44,A10
20160101000148,F0007,1,0,F,N,5,A10
20160101000152,H0002,3,0,F,N,35,D01
20160101000148,D0009,0,1,F,N,62,B02
20160101000150,L0006,0,2,F,N,0,D05
20160101000152,H0003,1,0,F,N,27,C08
20160101000148,K0010,3,0,L1,L,87,E02
20160101000150,B0005,0,1,F,N,15,E04
20160101000154,D0001,1,0,F,N,103,C05
20160101000152,C0004,4,0,F,N,41,E09
20160101000150,F0007,1,0,R2,R,3,A08
20160101000150,T0008,1,0,F,N,49,A04
20160101000150,D0009,0,0,L3,L,62,B10
20160101000154,H0002,0,0,F,N,35,D05
20160101000152,L0006,0,0,F,N,0,D02
20160101000154,H0003,0,1,F,N,17,C03
20160101000150,K0010,1,0,F,N,92,E03
20160101000152,B0005,0,1,R3,R,0,E04
20160101000154,C0004,3,0,F,L,61,E07
20160101000156,D0001,3,0,F,N,118,C06
20160101000152,T0008,3,0,F,N,64,A06
20160101000152,F0007,0,1,F,N,0,A08
20160101000156,H0002,0,1,F,N,25,D02
20160101000152,D0009,1,0,F,N,20,B05
20160101000154,L0006,0,1,F,N,0,D06
20160101000156,H0003,1,0,F,N,22,C04
